Year,Month,Day,Temp (°C),Dew Point Temp (°C),Rel Hum (%),Precip. Amount (mm),Stn Press (kPa),Hour
2019,11,1,7.0,3.5,78.0,0.0,98.17,0
2019,11,1,5.5,0.0,68.0,0.0,98.44,1
2019,11,1,4.7,-0.9,67.0,0.0,98.75,2
2019,11,1,3.9,-0.2,75.0,0.0,99.0,3
2019,11,1,3.7,-0.4,74.0,0.0,99.23,4
2019,11,1,3.9,-1.1,70.0,0.0,99.49,5
2019,11,1,3.9,-1.5,68.0,0.0,99.73,6
2019,11,1,3.8,-2.9,62.0,0.0,99.95,7
2019,11,1,4.0,-4.0,56.0,0.0,100.15,8
2019,11,1,4.1,-4.4,54.0,0.0,100.33,9
2019,11,1,4.6,-4.8,51.0,0.0,100.44,10
2019,11,1,5.1,-4.7,49.0,0.0,100.54,11
2019,11,1,5.3,-4.3,50.0,0.0,100.59,12
2019,11,1,5.1,-2.5,58.0,0.0,100.64,13
2019,11,1,4.7,-1.3,65.0,0.0,100.74,14
2019,11,1,4.7,-2.4,60.0,0.0,100.85,15
2019,11,1,4.9,-3.2,56.0,0.0,100.94,16
2019,11,1,4.7,-3.9,54.0,0.0,100.99,17
2019,11,1,4.4,-4.1,54.0,0.0,101.0,18
2019,11,1,4.0,-4.4,54.0,0.0,101.03,19
2019,11,1,4.0,-4.5,54.0,0.0,100.98,20
2019,11,1,3.9,-3.9,57.0,0.0,100.99,21
2019,11,1,3.6,-3.8,58.0,0.0,100.97,22
2019,11,1,3.9,-3.2,60.0,0.0,100.93,23
2019,11,2,3.2,-3.0,64.0,0.0,100.88,0
2019,11,2,4.2,-1.9,65.0,0.0,100.84,1
2019,11,2,4.7,-1.1,66.0,0.0,100.79,2
2019,11,2,4.8,-1.8,63.0,0.0,100.75,3
2019,11,2,5.0,-1.5,63.0,0.0,100.71,4
2019,11,2,5.2,-0.6,66.0,0.0,100.64,5
2019,11,2,5.2,1.0,74.0,0.0,100.57,6
2019,11,2,5.5,1.3,74.0,0.0,100.5,7
2019,11,2,5.8,1.9,76.0,0.0,100.44,8
2019,11,2,7.1,2.3,71.0,0.0,100.36,9
2019,11,2,7.8,2.0,67.0,0.0,100.27,10
2019,11,2,7.5,1.7,67.0,0.0,100.23,11
2019,11,2,7.2,2.3,71.0,0.0,100.16,12
2019,11,2,5.6,2.8,82.0,0.3,100.13,13
2019,11,2,5.8,2.5,79.0,0.4,100.13,14
2019,11,2,6.2,2.4,77.0,0.0,100.12,15
2019,11,2,6.3,3.0,79.0,0.0,100.15,16
2019,11,2,6.9,1.4,68.0,0.0,100.16,17
2019,11,2,6.0,0.6,68.0,0.0,100.18,18
2019,11,2,5.6,0.5,70.0,0.0,100.2,19
2019,11,2,5.1,0.2,71.0,0.0,100.18,20
2019,11,2,4.5,-0.4,70.0,0.0,100.12,21
2019,11,2,4.4,0.0,73.0,0.0,100.15,22
2019,11,2,3.7,0.1,77.0,0.0,100.14,23
2019,11,3,3.1,0.0,80.0,0.0,100.14,0
2019,11,3,2.7,-0.2,81.0,0.0,100.14,1
2019,11,3,3.2,-0.1,79.0,0.0,100.12,2
2019,11,3,3.0,-0.3,79.0,0.0,100.13,3
2019,11,3,2.8,-0.2,81.0,0.0,100.13,4
2019,11,3,3.1,-0.6,76.0,0.0,100.18,5
2019,11,3,3.2,-0.6,76.0,0.0,100.19,6
2019,11,3,2.7,-0.6,79.0,0.0,100.22,7
2019,11,3,3.0,-0.5,78.0,0.0,100.3,8
2019,11,3,4.1,-1.1,69.0,0.0,100.37,9
2019,11,3,5.3,-1.3,62.0,0.0,100.44,10
2019,11,3,5.3,-2.4,58.0,0.0,100.5,11
2019,11,3,5.6,-2.3,57.0,0.0,100.5,12
2019,11,3,5.7,-2.6,55.0,0.0,100.49,13
2019,11,3,6.1,-4.7,46.0,0.0,100.51,14
2019,11,3,6.0,-5.3,44.0,0.0,100.56,15
2019,11,3,5.4,-5.2,46.0,0.0,100.61,16
2019,11,3,4.6,-5.3,48.0,0.0,100.64,17
2019,11,3,4.6,-5.0,50.0,0.0,100.69,18
2019,11,3,3.8,-5.1,52.0,0.0,100.77,19
2019,11,3,3.5,-4.5,56.0,0.0,100.76,20
2019,11,3,3.2,-4.1,59.0,0.0,100.81,21
2019,11,3,3.2,-3.9,60.0,0.0,100.8,22
2019,11,3,2.9,-3.0,65.0,0.0,100.78,23
2019,11,4,4.0,-3.1,60.0,0.0,100.77,0
2019,11,4,4.6,-1.8,63.0,0.0,100.75,1
2019,11,4,5.4,-0.4,67.0,0.0,100.74,2
2019,11,4,5.0,0.7,74.0,0.2,100.68,3
2019,11,4,5.1,2.1,81.0,0.0,100.6,4
2019,11,4,6.0,3.0,81.0,0.0,100.56,5
2019,11,4,7.6,1.8,67.0,0.0,100.49,6
2019,11,4,7.8,2.6,69.0,0.0,100.47,7
2019,11,4,7.3,3.5,77.0,0.2,100.5,8
2019,11,4,7.5,3.8,78.0,0.0,100.42,9
2019,11,4,8.3,3.8,73.0,0.0,100.39,10
2019,11,4,9.2,2.4,62.0,0.0,100.32,11
