Longitude (x),Latitude (y),Station Name,Climate ID,Date/Time,Year,Month,Day,Data Quality,Max Temp (°C),Max Temp Flag,Min Temp (°C),Min Temp Flag,Mean Temp (°C),Mean Temp Flag,Heat Deg Days (°C),Heat Deg Days Flag,Cool Deg Days (°C),Cool Deg Days Flag,Total Rain (mm),Total Rain Flag,Total Snow (cm),Total Snow Flag,Total Precip (mm),Total Precip Flag,Snow on Grnd (cm),Snow on Grnd Flag,Dir of Max Gust (10s deg),Dir of Max Gust Flag,Spd of Max Gust (km/h),Spd of Max Gust Flag
-79.47,43.78,TORONTO NORTH YORK,615S001,2016-01-01,2016,1,1,†,1.5,,-3.5,,-1.0,,19.0,,0.0,,0.0,,2.0,,0.8,,3.0,,,,,
-79.47,43.78,TORONTO NORTH YORK,615S001,2016-01-02,2016,1,2,†,1.0,,-4.5,,-1.8,,19.8,,0.0,,0.0,,0.0,T,0.0,T,4.0,,,,,
-79.47,43.78,TORONTO NORTH YORK,615S001,2016-01-03,2016,1,3,†,1.5,,-4.0,,-1.3,,19.3,,0.0,,0.0,,0.0,T,0.0,T,1.0,,,,,
-79.47,43.78,TORONTO NORTH YORK,615S001,2016-01-04,2016,1,4,†,-10.5,,-15.5,,-13.0,,31.0,,0.0,,0.0,,0.0,,0.0,,1.0,,,,,
-79.47,43.78,TORONTO NORTH YORK,615S001,2016-01-05,2016,1,5,†,-2.5,,-16.5,,-9.5,,27.5,,0.0,,0.0,,0.0,,0.0,,1.0,,,,,
-79.47,43.78,TORONTO NORTH YORK,615S001,2016-01-06,2016,1,6,†,2.5,,-6.0,,-1.8,,19.8,,0.0,,0.0,,0.0,,0.0,,1.0,,,,,
-79.47,43.78,TORONTO NORTH YORK,615S001,2016-01-07,2016,1,7,†,4.0,,-7.5,,-1.8,,19.8,,0.0,,0.0,,0.0,,0.0,,0.0,T,,,,
-79.47,43.78,TORONTO NORTH YORK,615S001,2016-01-08,2016,1,8,†,5.0,,-5.0,,0.0,,18.0,,0.0,,6.2,,0.0,,6.2,,0.0,T,,,,
-79.47,43.78,TORONTO NORTH YORK,615S001,2016-01-09,2016,1,9,†,8.0,,1.0,,4.5,,13.5,,0.0,,12.4,,0.0,,12.4,,0.0,,,,,
-79.47,43.78,TORONTO NORTH YORK,615S001,2016-01-10,2016,1,10,†,7.0,,-1.0,,3.0,,15.0,,0.0,,10.0,,0.2,,10.0,,0.0,,,,,
-79.47,43.78,TORONTO NORTH YORK,615S001,2016-01-11,2016,1,11,†,0.5,,-9.0,,-4.3,,22.3,,0.0,,0.0,,8.8,,4.0,,0.0,T,,,,
-79.47,43.78,TORONTO NORTH YORK,615S001,2016-01-12,2016,1,12,†,-1.5,,-10.5,,-6.0,,24.0,,0.0,,0.0,,2.6,,0.2,,9.0,,,,,
-79.47,43.78,TORONTO NORTH YORK,615S001,2016-01-13,2016,1,13,†,-6.0,,-10.5,,-8.3,,26.3,,0.0,,0.0,,0.4,,0.4,,9.0,,,,,
-79.47,43.78,TORONTO NORTH YORK,615S001,2016-01-14,2016,1,14,†,-0.5,,-9.5,,-5.0,,23.0,,0.0,,0.0,,0.6,,0.2,,8.0,,,,,
-79.47,43.78,TORONTO NORTH YORK,615S001,2016-01-15,2016,1,15,†,4.0,,-4.0,,0.0,,18.0,,0.0,,3.2,,0.0,,3.2,,7.0,,,,,
-79.47,43.78,TORONTO NORTH YORK,615S001,2016-01-16,2016,1,16,†,2.5,,-3.0,,-0.3,,18.3,,0.0,,0.0,,0.0,T,0.0,T,2.0,,,,,
-79.47,43.78,TORONTO NORTH YORK,615S001,2016-01-17,2016,1,17,†,-0.5,,-6.5,,-3.5,,21.5,,0.0,,0.0,,0.2,,0.2,,2.0,,,,,
-79.47,43.78,TORONTO NORTH YORK,615S001,2016-01-18,2016,1,18,†,-7.0,,-12.0,,-9.5,,27.5,,0.0,,0.0,,0.2,,0.2,,2.0,,,,,
-79.47,43.78,TORONTO NORTH YORK,615S001,2016-01-19,2016,1,19,†,-3.0,,-15.5,,-9.3,,27.3,,0.0,,0.0,,0.0,T,0.0,T,2.0,,,,,
-79.47,43.78,TORONTO NORTH YORK,615S001,2016-01-20,2016,1,20,†,-3.5,,-5.5,,-4.5,,22.5,,0.0,,0.0,,0.0,T,0.0,T,1.0,,,,,
-79.47,43.78,TORONTO NORTH YORK,615S001,2016-01-21,2016,1,21,†,-3.0,,-8.0,,-5.5,,23.5,,0.0,,0.0,,0.0,,0.0,,0.0,T,,,,
-79.47,43.78,TORONTO NORTH YORK,615S001,2016-01-22,2016,1,22,†,-1.5,,-12.0,,-6.8,,24.8,,0.0,,0.0,,0.0,,0.0,,0.0,T,,,,
-79.47,43.78,TORONTO NORTH YORK,615S001,2016-01-23,2016,1,23,†,-2.5,,-11.0,,-6.8,,24.8,,0.0,,0.0,,0.0,,0.0,,0.0,T,,,,
-79.47,43.78,TORONTO NORTH YORK,615S001,2016-01-24,2016,1,24,†,1.0,,-11.0,,-5.0,,23.0,,0.0,,0.0,,0.0,,0.0,,0.0,T,,,,
-79.47,43.78,TORONTO NORTH YORK,615S001,2016-01-25,2016,1,25,†,6.0,,-2.5,,1.8,,16.2,,0.0,,0.2,,0.0,,0.2,,0.0,T,,,,
-79.47,43.78,TORONTO NORTH YORK,615S001,2016-01-26,2016,1,26,†,6.5,,-1.0,,2.8,,15.2,,0.0,,0.0,,1.0,,0.8,,0.0,,,,,
-79.47,43.78,TORONTO NORTH YORK,615S001,2016-01-27,2016,1,27,†,1.0,,-4.0,,-1.5,,19.5,,0.0,,0.0,,0.0,T,0.0,T,1.0,,,,,
-79.47,43.78,TORONTO NORTH YORK,615S001,2016-01-28,2016,1,28,†,1.5,,-2.0,,-0.3,,18.3,,0.0,,0.0,,4.2,,1.6,,0.0,T,,,,
-79.47,43.78,TORONTO NORTH YORK,615S001,2016-01-29,2016,1,29,†,-2.0,,-9.0,,-5.5,,23.5,,0.0,,0.0,,0.0,,0.0,,4.0,,,,,
-79.47,43.78,TORONTO NORTH YORK,615S001,2016-01-30,2016,1,30,†,5.0,,-9.5,,-2.3,,20.3,,0.0,,0.0,,0.0,,0.0,,2.0,,,,,
-79.47,43.78,TORONTO NORTH YORK,615S001,2016-01-31,2016,1,31,†,10.5,,-2.0,,4.3,,13.7,,0.0,,3.6,,0.0,,3.6,,0.0,T,,,,
-79.47,43.78,TORONTO NORTH YORK,615S001,2016-02-01,2016,2,1,†,11.0,,1.5,,6.3,,11.7,,0.0,,0.0,,0.0,,0.0,,0.0,,,,,
-79.47,43.78,TORONTO NORTH YORK,615S001,2016-02-02,2016,2,2,†,7.5,,-2.5,,2.5,,15.5,,0.0,,6.8,,0.0,,6.8,,0.0,,,,,
-79.47,43.78,TORONTO NORTH YORK,615S001,2016-02-03,2016,2,3,†,16.0,,-0.5,,7.8,,10.2,,0.0,,0.0,,0.0,,0.0,,0.0,,,,,
-79.47,43.78,TORONTO NORTH YORK,615S001,2016-02-04,2016,2,4,†,3.5,,0.0,,1.8,,16.2,,0.0,,0.0,,0.0,T,0.0,T,0.0,,,,,
-79.47,43.78,TORONTO NORTH YORK,615S001,2016-02-05,2016,2,5,†,1.5,,-4.0,,-1.3,,19.3,,0.0,,0.0,,0.0,T,0.0,T,0.0,,,,,
-79.47,43.78,TORONTO NORTH YORK,615S001,2016-02-06,2016,2,6,†,4.0,,-2.0,,1.0,,17.0,,0.0,,0.0,,0.0,,0.0,,0.0,T,,,,
-79.47,43.78,TORONTO NORTH YORK,615S001,2016-02-07,2016,2,7,†,5.5,,-3.0,,1.3,,16.7,,0.0,,0.0,,0.0,,0.0,,0.0,,,,,
